Customer ID,Name,Surname,Gender,Age,Region,Job Classification,Date Joined,Balance
100000001,Simon,Walsh,Male,21,England,White Collar,05.Jan.15,"113,810.15"
400000002,Jasmine,Miller,Female,34,Northern Ireland,Blue Collar,06.Jan.15,"36,919.73"
100000003,Liam,Brown,Male,46,England,White Collar,07.Jan.15,"101,536.83"
300000004,Trevor,Parr,Male,32,Wales,White Collar,08.Jan.15,"1,421.52"
100000005,Deirdre,Pullman,Female,38,England,Blue Collar,09.Jan.15,"35,639.79"
300000006,Ava,Coleman,Female,30,Wales,Blue Collar,09.Jan.15,"122,443.77"
100000007,Dorothy,Thomson,Female,34,England,Blue Collar,11.Jan.15,"42,879.84"
200000008,Lisa,Knox,Female,48,Scotland,Other,11.Jan.15,"36,680.17"
300000009,Ruth,Campbell,Female,33,Wales,White Collar,11.Jan.15,"74,284.35"
100000010,Dominic,Parr,Male,42,England,White Collar,12.Jan.15,"10,912.45"
100000011,Dominic,Lewis,Male,40,England,White Collar,12.Jan.15,"39,667.83"
100000012,Benjamin,Grant,Male,39,England,White Collar,12.Jan.15,"32,281.62"
100000013,Ryan,MacDonald,Male,24,England,White Collar,12.Jan.15,"40,781.63"
200000014,Thomas,Lawrence,Male,46,Scotland,Other,12.Jan.15,"48,791.46"
300000015,Madeleine,Marshall,Female,36,Wales,Other,12.Jan.15,"2,846.03"
100000016,Nicholas,Newman,Male,42,England,White Collar,14.Jan.15,"2,116.85"
200000017,Grace,Hill,Female,31,Scotland,Other,14.Jan.15,"10,356.31"
200000018,Samantha,Coleman,Female,42,Scotland,Other,14.Jan.15,"3,801.69"
100000019,William,Ince,Male,40,England,Blue Collar,15.Jan.15,"65,534.69"
100000020,Audrey,Jones,Female,46,England,Blue Collar,15.Jan.15,"11,462.64"
300000021,Boris,Johnston,Male,37,Wales,Other,16.Jan.15,"31,778.90"
200000022,Jason,Butler,Male,58,Scotland,Blue Collar,18.Jan.15,"21,252.97"
300000023,Deirdre,McDonald,Female,41,Wales,White Collar,18.Jan.15,"66,785.78"
200000024,Carl,Quinn,Male,52,Scotland,Blue Collar,19.Jan.15,"6,580.81"
100000025,Jennifer,Hughes,Female,38,England,White Collar,20.Jan.15,"20,505.32"
200000026,Richard,Fraser,Male,55,Scotland,Blue Collar,21.Jan.15,"43,249.26"
400000027,Rachel,McGrath,Female,37,Northern Ireland,White Collar,23.Jan.15,"3,967.20"
100000028,Alison,Fisher,Female,33,England,White Collar,25.Jan.15,"3,428.56"
200000029,Lucas,Mackenzie,Male,50,Scotland,Blue Collar,25.Jan.15,"20,516.10"
100000030,Luke,Wilkins,Male,42,England,White Collar,27.Jan.15,"10,813.83"
100000031,Megan,Bell,Female,25,England,White Collar,28.Jan.15,"38,889.76"
300000032,Warren,Edmunds,Male,30,Wales,White Collar,28.Jan.15,"14,094.01"
200000033,Grace,Chapman,Female,58,Scotland,Other,29.Jan.15,"25,865.20"
100000034,Jake,Wilson,Male,26,England,Other,30.Jan.15,"5,833.62"
100000035,Karen,Dyer,Female,34,England,Blue Collar,31.Jan.15,"77,809.59"
100000036,Yvonne,Thomson,Female,36,England,White Collar,31.Jan.15,"31,680.67"
100000037,Sophie,Gill,Female,33,England,White Collar,31.Jan.15,"20,504.37"
100000038,Robert,Cornish,Male,31,England,Other,31.Jan.15,"5,688.36"
200000039,Luke,Martin,Male,35,Scotland,Blue Collar,31.Jan.15,"12,848.59"
200000040,Gavin,Pullman,Male,59,Scotland,Other,31.Jan.15,"114,456.23"
100000041,Edward,Terry,Male,27,England,Blue Collar,01.Feb.15,"51,412.60"
100000042,Diane,Black,Female,35,England,White Collar,01.Feb.15,"9,695.70"
200000043,Jake,Morgan,Male,49,Scotland,Blue Collar,01.Feb.15,"114,021.21"
400000044,Yvonne,Churchill,Female,22,Northern Ireland,Other,01.Feb.15,"107,728.07"
100000045,Dorothy,Johnston,Female,53,England,Other,03.Feb.15,"2,893.19"
200000046,Lisa,Berry,Female,47,Scotland,Other,03.Feb.15,"54,589.61"
200000047,Leah,Nolan,Female,32,Scotland,Other,03.Feb.15,"59,501.63"
400000048,Carolyn,Lewis,Female,19,Northern Ireland,Other,08.Feb.15,"14,337.82"
100000049,Simon,Ball,Male,27,England,White Collar,12.Feb.15,"23,921.89"
100000050,Charles,Nolan,Male,39,England,White Collar,12.Feb.15,"39,034.14"
100000051,Sophie,Wilkins,Female,29,England,Blue Collar,12.Feb.15,"1,401.43"
100000052,Kimberly,James,Female,31,England,Blue Collar,12.Feb.15,"41,626.25"
100000053,Madeleine,Ellison,Female,37,England,Other,12.Feb.15,"47,551.70"
100000054,Irene,MacLeod,Female,32,England,White Collar,12.Feb.15,"24,187.98"
100000055,Cameron,Taylor,Male,24,England,White Collar,12.Feb.15,"4,912.21"
100000056,Liam,Gibson,Male,40,England,White Collar,12.Feb.15,"58,391.45"
100000057,Donna,Knox,Female,33,England,Blue Collar,12.Feb.15,"58,033.89"
100000058,Piers,Morgan,Male,44,England,White Collar,12.Feb.15,"35,831.20"
100000059,Phil,Randall,Male,39,England,Other,12.Feb.15,"1,879.85"
100000060,Ryan,White,Male,47,England,White Collar,12.Feb.15,"23,375.57"
100000061,Kylie,Howard,Female,35,England,White Collar,12.Feb.15,"4,586.23"
100000062,Fiona,Bell,Female,47,England,Other,12.Feb.15,"20,336.80"
100000063,Kevin,Gibson,Male,47,England,White Collar,12.Feb.15,"22,414.93"
100000064,Bernadette,Gibson,Female,39,England,White Collar,12.Feb.15,"40,305.24"
200000065,Maria,Hughes,Female,50,Scotland,Other,12.Feb.15,"18,091.36"
200000066,Piers,Burgess,Male,43,Scotland,Blue Collar,12.Feb.15,"20,076.80"
200000067,Dan,Ellison,Male,47,Scotland,Blue Collar,12.Feb.15,"5,300.47"
200000068,Lucas,Piper,Male,61,Scotland,Blue Collar,12.Feb.15,"7,162.43"
200000069,Jason,Sharp,Male,53,Scotland,Blue Collar,12.Feb.15,"35,751.37"
